"","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12"
"peak1412",113,110,120,77,160,211,81,95,93,117,135,283
"peak1413",89,84,81,55,87,121,58,44,40,48,86,136
"peak1414",217,192,87,43,25,5,161,145,84,40,41,10
"peak1415",73,113,167,231,288,142,77,83,149,265,271,123
"peak1416",14,26,37,41,78,130,13,11,26,48,82,175
"peak1417",403,274,235,124,109,75,274,213,159,137,84,88
"peak1418",101,54,25,14,5,5,101,37,30,9,11,4
"peak1419",5,10,9,14,7,37,8,8,5,8,7,33
"peak1420",278,281,148,57,54,35,307,231,148,64,47,20
"peak1421",50,56,85,130,158,168,29,53,63,148,177,153
"peak1422",21,28,48,72,185,31,21,26,41,72,117,24
"peak1423",126,136,85,57,29,10,133,92,98,45,35,13
"peak1424",52,51,107,116,229,221,59,52,75,116,215,186
"peak1425",388,475,425,366,663,779,392,400,384,459,695,777
"peak1426",229,176,62,13,12,11,170,91,59,22,10,19
"peak1427",445,263,144,49,61,46,305,198,124,60,45,36
"peak1428",127,124,54,15,14,2,95,108,47,24,14,11
"peak1429",342,266,150,31,32,14,238,158,112,41,10,19
"peak1430",128,125,96,69,87,72,121,84,71,49,89,95
"peak1431",71,77,115,67,194,291,63,86,72,121,188,380
"peak1432",173,136,84,56,81,54,125,102,69,43,39,66
"peak1433",208,153,79,49,41,27,167,104,88,27,37,36
"peak1434",45,36,21,15,14,7,52,32,14,11,4,11
"peak1435",1676,1527,1307,976,1348,1223,1391,1142,1045,1004,1282,1239
"peak1436",154,101,82,50,84,132,97,57,82,71,82,136
"peak1437",136,85,49,30,38,2,109,56,48,29,24,8
"peak1438",7,12,43,38,73,129,9,14,22,41,75,193
"peak1439",27,30,82,111,212,413,18,44,69,136,216,565
"peak1440",34,43,79,82,161,162,24,38,70,110,132,192
"peak1441",529,392,299,174,137,21,366,278,234,190,97,10
"peak1442",45,17,18,15,52,160,30,11,28,32,56,280
"peak1443",167,139,84,30,47,16,153,94,95,45,43,15
"peak1444",386,329,262,178,161,161,285,234,219,203,169,122
"peak1445",1012,943,944,646,901,748,867,745,719,617,752,636
"peak1446",27,27,46,43,101,158,18,16,24,44,108,207
"peak1447",972,1011,1052,848,1261,1243,948,809,853,823,1173,1190
"peak1448",222,153,63,29,20,18,216,117,78,48,31,18
"peak1449",160,81,37,8,10,10,120,69,40,10,4,7
"peak1450",118,114,76,25,22,7,126,92,56,37,21,17
"peak1451",672,659,442,201,132,31,646,475,437,288,131,55
"peak1452",282,170,51,20,13,14,195,127,65,15,14,13
"peak1453",239,165,63,21,10,10,238,115,80,32,9,15
"peak1454",24,35,160,161,147,153,69,145,77,175,125,148
"peak1455",459,381,289,114,86,41,335,237,208,129,54,47
"peak1456",10,15,7,34,62,133,5,6,21,19,71,167
"peak1457",167,169,72,46,54,10,175,101,82,46,50,19
"peak1458",190,203,250,234,390,652,182,128,194,282,415,945
"peak1459",552,502,378,283,500,444,450,370,325,255,446,479
"peak1460",184,114,57,35,29,13,163,76,44,35,28,15
"peak1461",15,20,54,79,110,167,15,11,41,75,105,219
"peak1462",144,105,65,20,4,2,121,64,56,22,7,6
"peak1463",457,321,184,115,58,41,313,259,189,76,68,56
"peak1464",727,706,637,519,676,573,628,564,534,475,665,715
"peak1465",453,575,468,400,621,506,508,475,434,395,533,464
"peak1466",123,118,70,25,11,9,97,81,61,30,5,5
"peak1467",778,537,297,186,158,94,624,346,262,137,137,90
"peak1468",208,119,73,52,41,53,151,86,82,68,32,60
"peak1469",101,108,117,120,170,179,73,52,111,134,147,278
"peak1470",233,181,132,49,18,8,182,135,102,34,20,15
"peak1471",132,84,36,12,2,6,120,82,28,20,17,16
"peak1472",294,245,171,100,133,104,182,159,145,134,128,87
"peak1473",118,82,40,36,24,9,104,54,34,32,24,6
"peak1474",8,10,39,26,74,101,12,27,27,39,65,135
"peak1475",270,277,127,50,27,15,253,197,148,51,25,22
"peak1476",763,647,402,165,127,65,667,496,415,203,105,37
"peak1477",160,116,73,16,13,11,147,99,64,10,9,2
"peak1478",25,14,29,45,84,106,22,14,48,42,58,158
"peak1479",142,121,111,87,130,183,145,113,109,100,142,202
"peak1480",86,111,83,80,169,306,108,63,57,60,136,440
"peak1481",40,85,96,68,102,92,52,53,76,117,117,105
"peak1482",63,89,70,52,91,59,68,68,34,69,88,99
"peak1483",74,67,92,158,274,222,50,65,116,200,230,238
"peak1484",64,80,78,102,132,201,78,69,72,105,143,235
"peak1485",232,146,122,46,29,19,206,122,110,37,20,12
"peak1486",83,53,73,82,145,153,72,53,52,80,158,204
"peak1487",41,31,34,28,56,118,36,25,32,39,46,127
"peak1488",580,582,573,358,516,319,559,411,447,418,470,313
"peak1489",317,166,74,24,13,21,241,189,74,55,15,20
"peak1490",25,40,64,70,124,65,30,16,37,66,109,42
"peak1491",104,102,92,83,94,41,89,74,92,103,113,45
"peak1492",94,115,161,156,149,88,104,81,133,170,149,95
"peak1493",913,721,596,445,541,418,706,556,485,401,492,446
"peak1494",161,101,83,22,12,9,130,88,60,18,21,14
"peak1495",159,87,51,18,20,28,107,62,57,33,11,22
"peak1496",558,469,277,70,57,16,543,336,221,106,46,31
"peak1497",208,134,31,16,7,11,171,93,33,20,12,17
"peak1498",94,47,65,62,85,139,80,47,33,64,64,160
"peak1499",502,300,183,89,69,35,336,271,193,115,77,43
"peak1500",48,45,42,56,96,111,60,53,46,72,87,121
"peak1501",71,70,40,22,28,10,60,27,37,18,14,8
"peak1502",308,180,139,60,86,34,232,158,126,87,86,28
"peak1503",226,192,150,114,118,65,156,144,131,98,102,39
"peak1504",190,119,54,20,15,26,178,83,46,23,20,11
"peak1505",46,73,97,107,156,155,68,56,72,90,178,280
"peak1506",190,210,105,37,40,24,172,174,74,33,26,22
"peak1507",314,369,291,185,166,132,367,276,216,200,203,106
"peak1508",251,189,129,78,53,22,281,195,116,80,47,30
"peak1509",215,117,49,34,25,33,116,95,57,28,27,25
"peak1510",148,88,42,18,7,4,113,70,48,13,11,16
"peak1511",238,289,280,170,100,31,269,217,209,162,124,27
"peak1512",487,471,250,100,42,28,486,328,236,96,58,19
"peak1513",311,237,145,37,61,26,237,173,107,71,44,20
"peak1514",146,96,88,28,26,17,124,95,53,36,16,22
"peak1515",22,40,89,126,129,83,12,20,62,121,138,100
"peak1516",1576,1350,1399,956,1366,1108,1314,1102,981,943,1186,1157
"peak1517",151,114,59,15,26,16,96,60,62,24,11,8
"peak1518",147,78,64,20,13,10,104,66,36,30,17,15
"peak1519",133,107,90,45,20,8,112,64,41,39,22,20
"peak1520",49,75,116,147,174,197,58,56,78,121,181,259
"peak1521",184,141,38,32,21,5,148,93,53,9,25,14
"peak1522",609,722,785,717,897,728,685,616,668,763,886,583
"peak1523",1142,1259,1292,1122,1473,1421,1103,1032,1017,1090,1361,1461
"peak1524",635,770,792,778,1101,894,618,663,681,780,1041,844
"peak1525",286,295,140,38,29,6,272,181,154,44,20,18
"peak1526",151,94,35,5,13,8,138,59,31,15,4,5
"peak1527",218,203,156,42,60,25,189,141,110,63,34,22
"peak1528",138,142,35,27,23,6,147,116,81,32,11,12
"peak1529",127,126,98,91,104,62,125,102,104,52,72,79
"peak1530",266,195,124,37,18,16,220,114,98,75,15,11
"peak1531",640,626,283,89,36,31,688,493,315,102,34,44
"peak1532",138,127,83,20,11,20,160,98,67,41,22,10
"peak1533",140,102,48,23,7,7,97,57,58,20,9,8
"peak1534",113,103,90,121,175,255,97,84,92,104,166,285
"peak1535",151,119,57,13,14,7,121,74,27,22,11,18
"peak1536",151,84,60,14,9,17,112,71,31,28,11,18
"peak1537",202,128,89,10,9,7,136,107,59,10,5,1
"peak1538",506,377,236,84,38,31,494,332,243,114,47,36
"peak1539",513,546,643,586,968,1135,515,440,520,593,951,1352
"peak1540",937,755,730,509,629,510,774,654,551,529,594,523
"peak1541",321,219,94,27,14,14,277,136,93,27,13,17
"peak1542",677,351,94,26,21,10,479,244,103,29,12,22
"peak1543",194,202,141,32,20,31,178,155,95,65,33,28
"peak1544",310,248,167,100,96,50,265,218,136,97,84,54
"peak1545",504,365,257,71,54,6,328,231,225,101,55,18
"peak1546",277,212,111,40,34,24,294,122,86,36,35,54
"peak1547",355,250,157,93,53,30,245,162,111,102,70,38
"peak1548",400,331,203,74,70,32,371,257,161,94,60,21
"peak1549",295,275,151,62,56,28,281,181,150,65,31,19
"peak1550",552,463,408,277,347,153,476,421,371,302,328,160
"peak1551",223,129,53,17,15,19,202,120,53,18,9,11
"peak1552",165,109,80,33,24,78,143,95,84,34,29,119
"peak1553",291,192,95,26,32,40,208,119,71,44,30,50
"peak1554",359,271,140,49,33,22,294,254,127,52,39,38
"peak1555",280,296,153,56,28,14,284,185,140,81,35,21
"peak1556",425,263,190,65,38,23,287,200,140,77,27,23
"peak1557",167,90,59,26,17,9,118,74,46,33,22,18
"peak1558",476,248,146,22,24,10,305,200,100,29,15,15
"peak1559",231,224,215,223,285,76,167,155,192,193,210,60
"peak1560",248,129,61,20,10,14,199,90,38,23,17,8
"peak1561",86,81,112,121,268,285,85,75,99,139,267,350
"peak1562",41,58,33,9,12,12,52,32,20,12,10,4
"peak1563",159,142,78,34,28,6,119,89,85,25,26,4
"peak1564",793,791,626,270,243,64,745,692,582,320,222,89
"peak1565",377,263,95,62,41,37,344,274,115,51,42,48
"peak1566",151,160,136,77,138,117,137,147,132,97,97,156
"peak1567",14,11,25,53,83,112,22,17,19,37,100,178
"peak1568",271,104,48,22,9,8,205,84,48,24,6,9
"peak1569",147,146,105,58,47,9,127,118,69,76,25,12
"peak1570",104,75,39,33,49,15,80,59,27,28,31,26
"peak1571",166,131,84,32,39,16,129,92,65,52,34,22
"peak1572",257,284,412,410,505,544,240,230,357,342,504,609
"peak1573",300,290,134,49,15,13,279,211,128,38,26,7
"peak1574",390,374,279,86,51,23,348,321,178,126,59,41
"peak1575",551,384,267,146,121,48,371,290,281,156,112,67
"peak1576",26,31,50,47,62,140,32,25,25,56,62,175
"peak1577",1176,1101,953,837,1027,946,991,787,697,734,910,923
"peak1578",16,5,25,61,57,132,12,19,16,57,72,126
"peak1579",232,146,43,35,20,13,163,83,53,33,38,42
"peak1580",173,102,62,32,18,11,140,77,55,23,21,7
"peak1581",436,362,226,121,116,26,341,262,206,136,96,18
"peak1582",250,222,127,85,88,11,182,144,113,96,74,25
"peak1583",476,296,186,103,58,37,342,276,177,106,83,29
"peak1584",23,22,31,41,69,108,12,18,37,41,86,121
"peak1585",297,218,142,57,39,19,174,130,104,56,27,26
"peak1586",105,78,50,19,27,20,93,68,51,26,25,21
"peak1587",790,840,640,569,761,541,661,618,566,556,741,530
"peak1588",288,225,144,66,40,21,268,176,135,63,40,29
"peak1589",138,139,114,58,40,16,143,100,60,53,49,17
"peak1590",307,177,59,19,13,4,199,120,69,30,12,8
"peak1591",58,40,45,31,38,32,58,34,44,34,61,52
"peak1592",120,103,75,41,10,6,95,92,57,11,8,11
"peak1593",124,79,42,30,27,17,103,60,37,24,22,11
"peak1594",279,237,131,40,28,11,209,122,100,55,27,12
"peak1595",164,92,31,31,16,14,141,83,53,15,14,12
"peak1596",385,461,391,307,316,69,345,327,294,319,310,63
"peak1597",48,49,72,82,146,148,27,60,41,106,165,144
"peak1598",174,156,87,42,34,15,167,125,70,55,34,24
"peak1599",512,604,527,317,472,465,557,482,432,368,434,362
"peak1600",181,161,87,58,39,16,176,134,87,27,24,14
"peak1601",591,671,488,424,469,263,506,513,547,406,426,164
"peak1602",457,381,197,57,26,11,401,278,154,64,15,9
"peak1603",203,169,65,35,27,23,176,90,63,22,35,26
"peak1604",190,97,32,13,10,12,137,67,26,7,5,15
"peak1605",205,207,204,140,116,33,204,181,160,127,104,13
"peak1606",479,451,283,106,40,14,415,334,242,106,42,14
"peak1607",136,109,40,18,20,13,114,56,45,40,13,22
"peak1608",151,135,97,38,34,18,146,96,71,42,20,18
"peak1609",69,59,57,64,125,162,104,59,47,60,131,191
"peak1610",68,73,66,83,196,274,57,45,65,92,170,336
"peak1611",357,193,111,79,75,25,243,159,123,77,71,40
"peak1612",207,160,55,26,43,17,150,97,71,33,28,24
"peak1613",533,425,279,188,300,320,462,353,252,220,267,273
"peak1614",158,111,79,31,45,20,132,67,41,41,55,12
"peak1615",152,93,89,64,81,83,121,68,52,57,82,105
"peak1616",42,39,57,48,88,106,37,20,42,58,71,110
"peak1617",428,410,264,159,106,25,359,324,170,184,154,35
"peak1618",309,233,101,52,45,18,225,164,143,68,41,25
"peak1619",127,107,60,43,23,33,90,75,60,36,35,36
"peak1620",439,327,202,67,59,22,377,218,162,124,61,14
"peak1621",146,92,67,23,9,30,114,72,36,18,25,26
"peak1622",1337,1241,1254,920,1225,1008,1132,922,926,872,1079,1018
"peak1623",392,256,125,33,39,30,267,158,117,73,53,27
"peak1624",168,93,70,35,28,17,133,63,61,34,33,18
"peak1625",337,266,111,44,29,8,252,216,143,58,31,7
"peak1626",678,703,591,358,460,122,671,514,538,482,382,83
"peak1627",172,172,126,128,162,155,163,151,145,132,157,174
"peak1628",305,218,135,34,16,11,270,206,114,49,29,16
"peak1629",581,443,275,137,144,58,494,346,243,151,140,80
"peak1630",33,41,124,108,172,198,48,40,79,105,161,291
"peak1631",239,267,147,92,85,26,240,210,167,118,92,10
"peak1632",760,838,852,657,946,640,718,626,644,638,760,673
"peak1633",462,372,196,103,67,27,450,262,207,110,65,45
"peak1634",684,592,420,149,97,47,609,514,350,160,42,34
"peak1635",326,394,304,161,111,17,431,329,285,138,105,17
"peak1636",231,260,193,164,213,108,199,198,183,209,208,140
"peak1637",335,383,322,217,198,100,360,308,258,185,213,79
"peak1638",64,60,72,56,99,109,65,60,53,76,91,165
"peak1639",275,291,195,79,87,39,239,255,171,106,76,12
"peak1640",231,195,92,45,53,14,190,142,88,44,45,20
"peak1641",4,23,37,64,116,131,8,7,19,60,82,146
"peak1642",156,104,58,17,14,13,113,96,73,15,12,13
"peak1643",324,236,158,110,98,60,231,171,112,83,84,94
"peak1644",19,9,16,28,50,177,13,16,19,27,50,201
"peak1645",14,16,29,27,120,338,16,25,30,38,94,491
"peak1646",4,8,5,11,55,191,6,6,13,20,56,254
"peak1647",361,240,237,209,389,874,325,222,176,223,392,1071
"peak1648",341,282,233,236,197,89,279,218,165,194,263,91
"peak1649",220,221,192,112,114,99,195,216,141,118,115,95
"peak1650",323,293,270,94,92,58,348,230,209,131,73,63
"peak1651",472,566,621,446,613,508,455,475,484,446,599,497
"peak1652",201,253,228,223,277,235,181,210,264,203,289,205
"peak1653",45,41,37,34,70,177,52,40,40,43,107,203
"peak1654",471,543,543,480,514,284,493,474,462,448,476,231
"peak1655",827,685,426,162,201,90,741,505,361,238,149,79
"peak1656",544,523,379,241,223,63,487,397,304,282,213,50
"peak1657",261,167,70,40,27,20,228,134,69,53,23,20
"peak1658",331,209,130,52,41,36,222,130,112,46,50,42
"peak1659",70,49,67,72,104,121,56,39,52,71,81,151
"peak1660",189,118,101,71,48,19,160,86,72,65,34,24
"peak1661",155,159,94,43,31,25,155,108,89,42,22,12
"peak1662",48,57,73,110,124,280,39,59,72,120,161,346
"peak1663",421,433,376,228,313,254,352,281,250,261,284,292
"peak1664",123,129,67,49,38,12,125,94,60,48,57,19
"peak1665",30,77,141,150,200,93,45,61,110,167,163,102
"peak1666",510,421,235,123,116,35,397,351,234,136,109,35
"peak1667",26,105,273,263,317,188,32,105,176,246,269,206
"peak1668",489,460,348,272,307,252,386,386,351,257,291,261
"peak1669",81,78,78,52,116,290,47,55,39,58,142,356
"peak1670",110,132,128,137,218,237,124,100,105,122,190,278
"peak1671",195,261,242,194,236,86,187,191,209,245,223,102
"peak1672",598,604,507,409,480,391,593,567,486,383,428,400
"peak1673",318,218,162,68,70,28,230,196,141,96,69,21
"peak1674",216,135,85,43,20,8,160,111,94,45,38,6
"peak1675",2,37,177,228,216,177,87,211,96,304,208,198
"peak1676",311,229,105,43,49,40,328,189,118,47,54,22
"peak1677",46,50,69,37,56,111,27,41,46,43,72,164
"peak1678",599,422,326,139,75,46,481,333,270,133,81,58
"peak1679",278,150,83,8,2,9,181,111,51,12,6,12
"peak1680",12,8,22,46,84,206,2,18,20,49,88,198
"peak1681",1058,855,500,219,196,59,837,621,483,311,165,51
"peak1682",1640,1437,1202,764,617,213,1316,1192,934,757,581,176
"peak1683",116,85,78,43,86,48,66,44,45,62,58,30
"peak1684",160,147,93,35,15,13,153,50,61,22,11,7
"peak1685",326,262,167,69,56,27,242,168,138,87,48,46
"peak1686",321,241,146,60,12,5,227,168,113,61,22,12
"peak1687",120,130,170,178,236,280,94,88,108,181,234,409
"peak1688",121,99,40,11,20,13,121,75,39,17,14,12
"peak1689",454,336,193,64,54,26,351,293,144,68,55,27
"peak1690",180,181,225,215,314,518,144,135,159,241,320,640
"peak1691",32,27,49,72,135,228,36,29,34,64,148,279
"peak1692",114,61,20,25,7,9,108,38,31,5,5,5
"peak1693",77,75,106,88,122,141,73,60,50,59,130,177
"peak1694",587,516,436,278,344,420,451,352,340,305,276,427
"peak1695",29,44,77,75,147,96,24,27,58,92,139,98
"peak1696",1023,999,539,325,270,132,981,741,518,385,230,129
"peak1697",1083,1016,1002,655,973,769,923,774,762,641,777,715
"peak1698",145,79,65,30,38,24,88,82,60,29,22,18
"peak1699",14,21,49,58,94,103,28,14,35,63,73,149
"peak1700",178,123,97,52,30,14,149,92,59,36,18,17
"peak1701",13,9,8,23,52,166,9,5,5,14,34,220
"peak1702",45,33,73,97,90,161,37,55,54,97,120,248
"peak1703",435,273,106,23,18,14,255,161,99,25,7,13
"peak1704",589,350,233,119,97,67,480,302,183,115,93,62
"peak1705",184,117,68,53,42,15,135,91,76,44,36,25
"peak1706",174,146,96,58,70,25,143,93,66,68,47,13
"peak1707",172,113,68,27,36,46,107,101,54,45,34,36
"peak1708",144,96,56,67,61,85,100,54,55,77,64,86
"peak1709",186,123,66,13,7,12,130,89,88,25,17,8
"peak1710",174,125,113,57,54,18,176,123,81,65,44,27
"peak1711",195,84,56,16,4,9,147,64,27,16,7,5
"peak1712",297,156,84,34,19,13,181,115,78,40,22,2
"peak1713",128,95,45,37,42,45,90,59,40,37,50,36
"peak1714",203,173,116,54,42,19,138,130,117,65,33,15
"peak1715",107,110,49,41,27,13,91,86,39,25,31,10
"peak1716",10,20,78,84,166,259,22,24,45,117,215,315
"peak1717",25,60,79,99,217,226,29,27,50,110,147,252
"peak1718",166,87,43,17,6,6,158,74,29,11,11,3
"peak1719",937,913,837,662,882,836,838,705,633,558,764,653
"peak1720",120,137,83,50,37,27,123,100,78,48,54,19
"peak1721",347,247,149,75,60,18,270,210,138,72,49,21
"peak1722",99,77,71,57,98,129,105,54,65,92,121,216
"peak1723",277,194,147,53,29,29,221,178,107,71,36,46
"peak1724",179,132,54,19,21,10,196,82,49,33,26,25
"peak1725",170,151,146,112,115,110,124,115,99,117,139,130
"peak1726",184,89,52,32,12,12,170,72,62,31,27,19
"peak1727",115,107,46,17,8,11,94,66,52,22,13,8
"peak1728",166,94,71,43,34,14,78,65,51,37,22,30
"peak1729",325,213,139,28,11,3,225,171,108,43,10,8
"peak1730",207,95,58,14,21,7,103,66,55,27,19,10
"peak1731",178,136,101,50,48,42,140,79,76,42,52,33
"peak1732",228,189,168,65,66,28,249,161,148,68,48,27
"peak1733",552,532,424,240,362,259,511,428,348,307,302,337
"peak1734",54,51,37,40,66,114,57,34,33,35,63,116
"peak1735",18,39,41,49,67,140,19,27,28,58,77,207
"peak1736",23,22,21,19,36,51,19,13,25,24,26,53
"peak1737",237,232,92,26,11,5,232,160,92,40,20,10
"peak1738",2051,2459,2463,2069,2866,2423,1955,2026,1997,2059,2514,2139
"peak1739",137,80,37,13,8,11,115,39,35,17,2,8
"peak1740",255,167,84,41,24,13,206,126,52,28,25,17
"peak1741",573,487,238,78,35,19,448,360,212,73,31,21
"peak1742",52,48,34,27,67,107,40,29,23,29,58,145
"peak1743",211,267,218,201,409,417,237,157,195,214,330,449
"peak1744",137,81,43,8,4,5,114,60,45,9,2,4
"peak1745",579,513,321,164,148,81,539,392,283,166,134,117
"peak1746",151,83,73,34,18,18,134,54,35,27,23,16
"peak1747",441,436,468,338,456,343,418,417,419,317,422,382
"peak1748",237,136,69,22,14,19,231,122,78,32,22,14
"peak1749",326,261,100,34,45,58,339,213,125,56,44,66
"peak1750",97,101,55,44,102,189,74,59,68,43,76,275
"peak1751",236,150,84,29,40,17,218,129,63,45,23,17
"peak1752",200,115,50,16,13,16,153,78,44,24,13,22
"peak1753",37,43,58,78,107,116,23,24,62,76,79,121
"peak1754",44,126,232,238,265,210,64,88,168,261,291,246
"peak1755",9,28,30,57,85,151,17,20,36,62,94,219
"peak1756",87,73,107,81,160,162,75,64,70,107,129,222
"peak1757",430,400,314,199,276,219,374,299,293,261,277,245
"peak1758",154,150,121,158,244,279,134,96,106,147,237,423
"peak1759",8,16,34,27,80,114,6,12,36,30,55,85
"peak1760",262,134,43,15,9,6,209,76,47,25,12,9
"peak1761",100,63,65,42,60,45,81,73,42,42,38,66
"peak1762",170,85,42,12,15,10,144,68,45,18,10,12
"peak1763",220,144,65,25,20,10,178,118,68,24,6,20
"peak1764",148,86,69,22,19,20,133,71,47,22,14,19
"peak1765",850,721,502,337,372,255,697,528,403,272,339,368
"peak1766",185,188,297,368,623,655,160,190,234,333,518,737
"peak1767",271,246,131,31,31,19,207,134,106,46,18,23
"peak1768",287,183,85,44,20,19,220,146,75,28,22,23
"peak1769",155,116,70,24,15,10,86,78,53,22,18,17
"peak1770",220,107,67,23,20,15,157,95,53,20,9,27
"peak1771",57,50,59,82,122,108,58,41,49,65,96,118
"peak1772",246,134,85,40,31,5,154,101,83,65,39,10
"peak1773",132,97,30,9,17,15,122,79,35,22,10,7
"peak1774",277,197,96,27,14,11,267,132,72,27,15,15
"peak1775",219,151,85,75,59,27,177,106,83,47,54,27
"peak1776",292,178,84,22,10,14,227,148,74,29,8,8
"peak1777",173,117,97,24,14,11,171,99,75,47,17,12
"peak1778",164,114,52,37,28,22,149,75,48,44,17,30
"peak1779",192,98,65,26,30,14,126,77,61,38,24,24
"peak1780",136,116,98,27,17,23,125,100,52,52,12,14
"peak1781",386,415,341,230,210,184,362,310,270,200,230,208
"peak1782",24,24,51,54,69,136,19,18,26,63,90,123
"peak1783",149,82,53,14,22,8,118,73,43,17,10,10
"peak1784",705,583,455,247,189,62,567,425,344,272,162,83
"peak1785",744,699,640,473,591,604,651,584,572,506,647,601
"peak1786",408,430,369,274,298,146,327,319,274,292,303,113
"peak1787",63,65,84,60,152,176,41,45,54,83,154,233
"peak1788",416,306,167,84,64,26,321,255,156,77,49,53
"peak1789",414,341,230,95,29,11,368,260,166,88,52,24
"peak1790",186,164,88,72,77,72,179,153,91,68,80,116
"peak1791",165,123,67,33,29,14,163,118,89,25,27,11
"peak1792",206,158,126,16,10,7,230,163,103,22,14,12
"peak1793",702,712,591,380,613,435,618,595,522,484,540,496
"peak1794",146,162,82,42,52,25,152,121,67,60,51,18
"peak1795",146,124,50,23,14,12,158,94,38,20,9,10
"peak1796",92,101,65,62,51,14,93,85,72,70,36,11
"peak1797",90,68,61,59,109,177,70,53,45,70,99,284
"peak1798",1447,1183,651,310,217,86,1288,941,640,309,185,77
"peak1799",133,113,70,31,14,24,150,101,79,33,4,20
"peak1800",239,249,216,99,144,132,239,182,207,167,129,109
"peak1801",559,587,303,71,33,12,524,467,296,101,29,30
"peak1802",13,18,18,25,44,207,16,21,24,41,36,248
"peak1803",564,554,544,444,652,616,508,494,530,496,649,595
"peak1804",154,92,47,19,28,7,157,71,35,23,14,22
"peak1805",234,208,186,73,33,10,191,122,138,77,21,15
"peak1806",237,195,63,26,31,6,199,91,57,28,24,17
"peak1807",122,79,71,28,25,20,106,67,55,30,19,8
"peak1808",935,977,693,318,240,91,912,816,570,332,255,113
"peak1809",135,146,77,24,45,23,127,80,68,39,39,11
"peak1810",18,17,35,35,105,115,10,12,27,43,79,155
"peak1811",61,50,58,72,227,292,53,26,56,72,160,263
"peak1812",329,198,110,48,34,37,274,160,88,52,40,39
"peak1813",398,275,180,64,54,49,428,246,149,85,57,46
"peak1814",801,831,783,647,863,611,639,636,684,683,831,659
"peak1815",31,38,42,48,121,207,39,23,47,39,111,317
"peak1816",43,68,151,188,327,394,53,94,121,170,329,431
"peak1817",291,207,82,27,16,20,242,160,104,30,34,34
"peak1818",150,183,127,79,78,43,161,164,104,71,85,39
"peak1819",591,600,580,452,606,495,621,542,492,493,579,445
"peak1820",17,19,26,46,100,130,10,15,34,44,71,110
"peak1821",63,45,56,85,117,111,33,43,55,73,118,120
"peak1822",339,325,180,123,136,66,350,304,177,143,99,52
"peak1823",112,80,34,18,14,15,129,87,44,19,14,19
"peak1824",680,619,384,215,162,68,699,546,397,246,161,86
"peak1825",136,64,76,35,15,33,116,81,58,42,21,42
"peak1826",182,103,38,5,5,3,153,83,49,9,13,11
"peak1827",138,146,90,29,15,10,152,117,81,45,15,3
"peak1828",80,109,76,75,160,166,64,66,67,71,146,209
"peak1829",396,278,162,30,12,8,282,246,139,59,10,8
"peak1830",230,180,89,62,35,9,175,125,108,46,29,16
"peak1831",433,412,250,108,89,43,395,311,224,97,76,47
"peak1832",139,122,75,42,28,15,143,127,62,49,31,16
"peak1833",40,39,85,122,182,255,37,17,38,122,174,289
"peak1834",146,90,48,12,7,7,127,72,45,13,18,14
"peak1835",116,128,124,97,141,95,114,120,106,77,115,104
"peak1836",290,181,62,21,17,33,284,159,64,21,15,28
"peak1837",589,329,185,39,34,12,371,254,126,38,23,31
"peak1838",465,382,196,87,57,43,350,249,197,99,78,59
"peak1839",134,126,46,52,49,74,171,83,75,50,41,123
"peak1840",83,142,123,193,275,288,93,67,142,165,243,385
"peak1841",301,200,108,65,76,49,244,143,122,71,59,61
"peak1842",11,26,26,43,126,151,14,19,32,55,109,165
"peak1843",419,372,207,83,63,40,368,208,202,110,87,49
"peak1844",9,9,27,38,40,36,8,9,32,24,49,35
"peak1845",119,144,173,166,239,401,103,98,137,142,263,413
"peak1846",203,163,90,47,52,28,160,94,88,62,40,16
"peak1847",581,430,359,209,216,193,467,322,308,246,264,259
"peak1848",168,104,52,20,17,13,120,69,31,20,7,15
"peak1849",97,78,97,68,68,168,95,48,57,45,98,242
"peak1850",138,96,61,39,55,38,106,95,59,45,52,31
"peak1851",291,278,177,108,77,34,332,225,142,107,65,21
"peak1852",232,164,96,66,60,40,202,117,129,42,46,49
"peak1853",241,182,84,31,29,18,233,126,85,35,35,37
"peak1854",105,89,57,29,22,14,107,99,65,32,13,15
"peak1855",267,161,96,41,43,18,211,116,68,66,41,29
"peak1856",129,87,47,12,14,10,121,55,45,14,9,7
"peak1857",867,878,791,570,780,471,774,645,720,656,637,379
"peak1858",203,133,38,11,13,8,155,81,40,4,11,6
"peak1859",199,86,40,21,4,9,107,62,25,12,9,15
"peak1860",400,354,174,86,75,26,322,251,144,101,71,41
"peak1861",123,96,48,24,23,19,113,60,31,14,15,17
"peak1862",110,120,187,98,209,334,85,121,119,139,227,524
"peak1863",989,1121,1018,850,1245,1029,965,982,939,816,1067,994
"peak1864",862,951,918,771,984,813,839,760,743,776,1009,891
"peak1865",61,74,91,82,163,191,88,74,88,70,114,237
"peak1866",1248,1118,686,355,324,96,1139,807,577,352,308,107
"peak1867",823,646,420,209,211,81,693,439,314,246,169,102
"peak1868",382,351,224,67,52,23,334,237,159,97,72,23
"peak1869",1790,1402,825,335,255,85,1404,1044,810,358,215,133
"peak1870",31,18,39,58,84,107,30,34,39,49,80,134
"peak1871",48,75,136,202,272,323,75,53,88,202,264,298
"peak1872",54,20,25,29,19,18,45,23,33,16,18,20
"peak1873",253,182,121,59,53,13,171,128,81,61,44,19
