Year,Kingdom,Phylum,Class,Species,Tcode,KEGGId,RefSeq
2008,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella halifaxensis,T00654,shl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/185/GCA_000019185.1_ASM1918v1
2006,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella sp. MR-7,T00389,shm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/665/GCA_000014665.1_ASM1466v1
2006,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella sp. ANA-3,T00428,shn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/935/GCA_000203935.1_ASM20393v1
2012,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella putrefaciens 200,T02015,shp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/215/GCA_000169215.2_ASM16921v2
2007,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella sp. W3-18-1,T00453,shw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/185/GCA_000015185.1_ASM1518v1
2017,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella japonica,T04959,sja,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/075/795/GCA_002075795.1_ASM207579v1
2019,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella livingstonensis,T05875,slj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/855/395/GCA_003855395.1_ASM385539v1
2007,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella loihica,T00489,slo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/065/GCA_000016065.1_ASM1606v1
2018,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella marisflavi,T05400,smav,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/215/585/GCA_002215585.1_ASM221558v1
2002,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella oneidensis,T00099,son,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/165/GCF_000146165.2_ASM14616v2
2007,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella putrefaciens CN-32,T00513,spc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1
2007,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella pealeana,T00606,spl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/285/GCA_000018285.1_ASM1828v1
2017,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella psychrophila,T05063,spsw,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/305/GCA_002005305.1_ASM200530v1
2007,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella sediminis,T00596,sse,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/025/GCA_000018025.1_ASM1802v1
2010,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella violacea,T01206,svo,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/325/GCA_000091325.1_ASM9132v1
2008,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella woodyi,T00676,swd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/525/GCA_000019525.1_ASM1952v1
2008,Bacteria,Gammaproteobacteria - Others,Shewanella,Shewanella piezotolerans,T00791,swp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/885/GCA_000014885.1_ASM1488v1
2012,Bacteria,Gammaproteobacteria - Others,Simiduia,Simiduia agarivorans,T02281,saga,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/305/785/GCA_000305785.2_ASM30578v2
2018,Bacteria,Gammaproteobacteria - Others,Solimonas,Solimonas sp. K1W22B-7,T05591,sok,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/428/335/GCA_003428335.1_ASM342833v1
2013,Bacteria,Gammaproteobacteria - Others,Spiribacter,Spiribacter curvatus,T02888,spiu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/485/905/GCA_000485905.1_ASM48590v1
2019,Bacteria,Gammaproteobacteria - Others,Spiribacter,Spiribacter roseus,,sros,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/635/GCA_002813635.1_ASM281363v1
2013,Bacteria,Gammaproteobacteria - Others,Spiribacter,Spiribacter salinus,T02685,ssal,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/319/575/GCA_000319575.2_ASM31957v2
2015,Bacteria,Gammaproteobacteria - Others,Spongiibacter,Spongiibacter sp. IMCC21906,T03945,spoi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/010/805/GCA_001010805.1_ASM101080v1
2011,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas maltophilia JV3,T01596,buj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/885/GCA_000223885.1_ASM22388v1
2016,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas acidaminiphila,T04107,sacz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/305/GCA_001314305.1_ASM131430v1
2017,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas sp. LM091,T04630,slm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/806/305/GCA_001806305.1_ASM180630v1
2008,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas maltophilia K279a,T00718,sml,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/072/485/GCA_000072485.1_ASM7248v1
2008,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas maltophilia R551-3,T00733,smt,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/665/GCA_000020665.1_ASM2066v1
2012,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas maltophilia D457,T02061,smz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/595/GCA_000284595.1_ASM28459v1
2016,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas rhizophila,T04500,srh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/704/155/GCA_001704155.1_ASM170415v1
2016,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas sp. KCTC 12332,T04408,stek,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/562/215/GCA_001562215.1_ASM156221v1
2018,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas sp. MYb57,T05384,stem,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/966/815/GCA_002966815.1_ASM296681v1
2017,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas sp. WZN-1,T04963,sten,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/255/GCA_002192255.1_ASM219225v1
2019,Bacteria,Gammaproteobacteria - Others,Stenotrophomonas,Stenotrophomonas sp. ASS1,T06051,stes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/346/925/GCA_004346925.1_ASM434692v1
2016,Bacteria,Gammaproteobacteria - Others,Steroidobacter,Steroidobacter denitrificans,T04296,sdf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/945/GCA_001579945.1_ASM157994v1
2018,Bacteria,Gammaproteobacteria - Others,Sulfuricaulis,Sulfuricaulis limicola,T05241,slim,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/735/GCA_002355735.1_ASM235573v1
2018,Bacteria,Gammaproteobacteria - Others,Sulfurifustis,Sulfurifustis variabilis,T05321,sva,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/415/GCA_002355415.1_ASM235541v1
2015,Bacteria,Gammaproteobacteria - Others,Tatlockia,Tatlockia micdadei,T03810,tmc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/635/GCA_000953635.1_LMI
2016,Bacteria,Gammaproteobacteria - Others,Tenderia,Candidatus Tenderia electrophaga,T04171,tee,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/805/GCA_001447805.1_ASM144780v1
2009,Bacteria,Gammaproteobacteria - Others,Teredinibacter,Teredinibacter turnerae,T00952,ttu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/025/GCA_000023025.1_ASM2302v1
2013,Bacteria,Gammaproteobacteria - Others,Thalassolituus,Thalassolituus oleivorans MIL-1,T02529,tol,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/355/675/GCA_000355675.1_ASM35567v1
2014,Bacteria,Gammaproteobacteria - Others,Thalassolituus,Thalassolituus oleivorans R6-15,T03056,tor,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/582/555/GCA_000582555.1_ASM58255v1
2019,Bacteria,Gammaproteobacteria - Others,Thalassotalea,Thalassotalea sp. PS06,T06100,thap,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/197/775/GCA_007197775.1_ASM719777v1
2019,Bacteria,Gammaproteobacteria - Others,Thalassotalea,Thalassotalea sp. HSM 43,T05926,tht,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/752/005/GCA_004752005.1_ASM475200v1
2019,Bacteria,Gammaproteobacteria - Others,Thermomonas,Thermomonas sp. SY21,T06025,thes,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/337/105/GCA_006337105.1_ASM633710v1
2009,Bacteria,Gammaproteobacteria - Others,Thioalkalivibrio,Thioalkalivibrio sulfidiphilus,T00840,tgr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/985/GCA_000021985.1_ASM2198v1
2010,Bacteria,Gammaproteobacteria - Others,Thioalkalivibrio,Thioalkalivibrio sp. K90mix,T01174,tkm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/545/GCA_000025545.1_ASM2554v1
2013,Bacteria,Gammaproteobacteria - Others,Thioalkalivibrio,Thioalkalivibrio nitratireducens,T02408,tni,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/321/415/GCA_000321415.2_ASM32141v2
2015,Bacteria,Gammaproteobacteria - Others,Thioalkalivibrio,Thioalkalivibrio paradoxus,T03590,tti,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/685/GCA_000227685.3_ASM22768v3
2015,Bacteria,Gammaproteobacteria - Others,Thioalkalivibrio,Thioalkalivibrio versutus,T03959,tvr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/020/955/GCA_001020955.1_ASM102095v1
2012,Bacteria,Gammaproteobacteria - Others,Thiocystis,Thiocystis violascens,T02138,tvi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/745/GCA_000227745.3_ASM22774v3
2017,Bacteria,Gammaproteobacteria - Others,Thiodictyon,Candidatus Thiodictyon syntrophicum,T05211,tsy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/813/775/GCA_002813775.1_ASM281377v1
2012,Bacteria,Gammaproteobacteria - Others,Thioflavicoccus,Thioflavicoccus mobilis,T02397,tmb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/045/GCA_000327045.1_ASM32704v1
2019,Bacteria,Gammaproteobacteria - Others,Thioglobus,Candidatus Thioglobus sp. NP1,T05818,thin,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/326/015/GCA_003326015.1_ASM332601v1
2016,Bacteria,Gammaproteobacteria - Others,Thioglobus,Candidatus Thioglobus autotrophicus,T04079,tho,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/165/GCA_001293165.1_ASM129316v1
2015,Bacteria,Gammaproteobacteria - Others,Thioglobus,Candidatus Thioglobus singularis PS1,T04071,tsn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/385/GCA_001281385.1_ASM128138v1
2017,Bacteria,Gammaproteobacteria - Others,Thiohalobacter,Thiohalobacter thiocyanaticus,T05229,ttc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/355/GCA_002356355.1_ASM235635v1
2015,Bacteria,Gammaproteobacteria - Others,Thiolapillus,Thiolapillus brandeum,T03600,tbn,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/615/GCA_000828615.1_ASM82861v1
2019,Bacteria,Gammaproteobacteria - Others,Thiomicrorhabdus,Thiomicrorhabdus sp. G1,T05983,thig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/885/815/GCA_005885815.1_ASM588581v1
2015,Bacteria,Gammaproteobacteria - Others,Thiomicrospira,Thiomicrospira aerophila,T03589,tao,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/227/665/GCA_000227665.3_ASM22766v3
2011,Bacteria,Gammaproteobacteria - Others,Thiomicrospira,Thiomicrospira cyclica,T01517,tcy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/825/GCA_000214825.1_ASM21482v1
2019,Bacteria,Gammaproteobacteria - Others,Thiomicrospira,Thiomicrospira sp. S5,T05796,thio,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/991/075/GCA_003991075.1_ASM399107v1
2015,Bacteria,Gammaproteobacteria - Others,Thioploca,Thioploca ingrica,T03616,tig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/835/GCA_000828835.1_ASM82883v1
2009,Bacteria,Gammaproteobacteria - Others,Tolumonas,Tolumonas auensis,T00904,tau,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/065/GCA_000023065.1_ASM2306v1
2006,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Baumannia cicadellinicola Hc (Homalodisca coagulata),T00349,bci,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/185/GCA_000013185.1_ASM1318v1
2014,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Candidatus Baumannia cicadellinicola BGSS,T03277,bcib,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/265/GCA_000754265.1_ASM75426v1
2016,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Candidatus Baumannia cicadellinicola B-GSS,T04544,bcig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/269/425/GCA_001269425.1_ASM126942v1
2017,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Endosymbiont of Bathymodiolus septemdierum,T04606,ebh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/547/755/GCA_001547755.1_ASM154775v1
2016,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Endosymbiont of unidentified scaly snail isolate Monju,T04530,enm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/295/GCA_000801295.1_ASM80129v1
2010,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Gamma proteobacterium HdN1,T01300,gpb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/198/515/GCA_000198515.1_ASM19851v1
2007,Bacteria,Gammaproteobacteria - Others,Unclassified Gammaproteobacteria,Candidatus Vesicomyosocius okutanii (Calyptogena okutanii),T00530,vok,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/405/GCA_000010405.1_ASM1040v1
2018,Bacteria,Gammaproteobacteria - Others,Unclassified Moraxellaceae,Moraxellaceae bacterium HYN0046,T05575,mbah,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/351/745/GCA_003351745.1_ASM335174v1
2019,Bacteria,Gammaproteobacteria - Others,Unclassified Rhodanobacteraceae,Rhodanobacteraceae bacterium Dysh456,T06043,rbd,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/967/035/GCA_003967035.1_ASM396703v1
2019,Bacteria,Gammaproteobacteria - Others,Unclassified Xanthomonadaceae,Xanthomonadaceae bacterium AQ6-296,T06010,xbc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/168/365/GCA_004168365.1_ASM416836v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio anguillarum M3,T02823,lag,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/462/975/GCA_000462975.1_ASM46297v1
2019,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio alfacsensis,T05841,vaf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/544/875/GCA_003544875.1_ASM354487v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio alginolyticus,T02840,vag,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/354/175/GCA_000354175.2_ASM35417v2
2011,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio anguillarum 775,T01536,van,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/675/GCA_000217675.1_ASM21767v1
2015,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio anguillarum NB10,T03657,vau,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/786/425/GCA_000786425.1_Vibrio_anguillarum_NB10_serovar_O1
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio breoganii,T04649,vbr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/275/GCA_001677275.1_ASM167727v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio campbellii,T02837,vca,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/464/435/GCA_000464435.1_ASM46443v1
2011,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 2010EL-1786,T01650,vce,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/455/GCA_000166455.2_ASM16645v2
2015,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 El Tor FJ147,T03827,vcf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/555/GCA_000963555.1_ASM96355v1
2000,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 El Tor N16961,T00034,vch,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/745/GCF_000006745.1_ASM674v1
2012,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 IEC224,T01766,vci,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/250/855/GCA_000250855.1_ASM25085v1
2009,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 MJ-1236,T00903,vcj,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/585/GCA_000022585.1_ASM2258v1
2012,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 LMA3984-4,T01871,vcl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/065/GCA_000195065.1_ASM19506v1
2009,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 M66-2,T00891,vcm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/605/GCA_000021605.1_ASM2160v1
2007,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 O395,T00520,vco,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/245/GCA_000016245.1_ASM1624v1
2014,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 2012EL-2176,T03389,vcq,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/415/GCA_000765415.1_ASM76541v1
2012,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 O395,T02099,vcr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/625/GCA_000021625.1_ASM2162v1
2015,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O1 El Tor MS6,T03666,vcs,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/829/215/GCA_000829215.1_ASM82921v1
2014,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio coralliilyticus OCN014,T03497,vct,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/763/535/GCA_000763535.2_ASM76353v2
2015,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O49 1154-74,T03828,vcx,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/235/GCA_000969235.1_ASM96923v1
2014,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio coralliilyticus RE98,T03444,vcy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/065/GCA_000772065.1_ASM77206v1
2015,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio cholerae O27 10432-62,T03829,vcz,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/265/GCA_000969265.1_ASM96926v1
2018,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio diabolicus,T05332,vdb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/953/335/GCA_002953335.1_ASM295333v1
2012,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio sp. EJY3,T01683,vej,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/385/GCA_000241385.1_ASM24138v1
2009,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio antiquarius,T01107,vex,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/825/GCA_000024825.1_ASM2482v1
2016,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio fluvialis,T04379,vfl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/415/GCA_001558415.2_ASM155841v2
2012,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio furnissii,T01680,vfu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/184/325/GCA_000184325.1_ASM18432v1
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio gazogenes,T04933,vga,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/196/515/GCA_002196515.1_ASM219651v1
2007,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio campbellii,T00589,vha,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/705/GCA_000017705.1_ASM1770v1
2016,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio harveyi,T04380,vhr,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/435/GCA_001558435.2_ASM155843v2
2016,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio mimicus,T04381,vmi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/475/GCA_001558475.2_ASM155847v2
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio natriegens,T04636,vna,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/456/255/GCA_001456255.1_ASM145625v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio nigripulchritudo,T02871,vni,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/801/275/GCA_000801275.1_ASM80127v1
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio owensii,T04844,vow,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/021/755/GCA_002021755.1_ASM202175v1
2003,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio parahaemolyticus RIMD 2210633,T00120,vpa,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/095/GCF_000196095.1_ASM19609v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio parahaemolyticus BB22OP,T02409,vpb,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/405/GCA_000328405.1_ASM32840v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio parahaemolyticus O1:Kuk FDA_R31,T02761,vpf,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/405/GCA_000430405.1_ASM43040v1
2014,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio parahaemolyticus UCM-V493,T03116,vph,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/568/495/GCA_000568495.1_ASM56849v1
2013,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio parahaemolyticus O1:K33 CDC_K4557,T02760,vpk,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/430/425/GCA_000430425.1_ASM43042v1
2018,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio qinghaiensis,T05259,vqi,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/257/545/GCA_002257545.1_ASM225754v1
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio rotiferianus,T05115,vro,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/395/GCA_002214395.1_ASM221439v1
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio scophthalmi,T04650,vsc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/685/465/GCA_001685465.1_ASM168546v1
2017,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio mediterranei,T04936,vsh,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/214/345/GCA_002214345.1_ASM221434v1
2008,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio tasmaniensis,T00812,vsp,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/465/GCA_000091465.1_ASM9146v1
2018,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio tapetis,T05424,vta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/233/005/GCA_900233005.1_Vibrio_tapetis_CECT4600
2014,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio tubiashii,T03445,vtu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/772/105/GCA_000772105.1_ASM77210v1
2014,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio vulnificus 93U204,T03294,vvl,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/746/665/GCA_000746665.1_ASM74666v1
2011,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio vulnificus MO6-24/O,T01415,vvm,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/585/GCA_000186585.1_ASM18658v1
2002,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio vulnificus CMCP6,T00108,vvu,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/039/765/GCA_000039765.1_ASM3976v1
2003,Bacteria,Gammaproteobacteria - Others,Vibrio,Vibrio vulnificus YJ016,T00150,vvy,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/745/GCA_000009745.1_ASM974v1
2015,Bacteria,Gammaproteobacteria - Others,Wenzhouxiangella,Wenzhouxiangella marina,T04011,wma,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/187/785/GCA_001187785.1_ASM118778v1
2016,Bacteria,Gammaproteobacteria - Others,Woeseia,Woeseia oceani,T04427,woc,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/435/GCA_001677435.1_ASM167743v1
